# radius         dens           pres           temp        c12          ne20          ne22
4670
2.786816595695597e+07  2.987232279900794e+09  2.083191310600934e+27  6.465098221065782e+08  1.419872272571395e-01  2.872464231128065e-01  0.000000000000000e+00
2.802565369778640e+07  2.975228350752066e+09  2.071986738498906e+27  6.451926219236360e+08  1.419875752650502e-01  2.872459619863556e-01  0.000000000000000e+00
2.810401257187874e+07  2.964779504193945e+09  2.062246006799130e+27  6.440430263890620e+08  1.419878776541437e-01  2.872455616537719e-01  0.000000000000000e+00
2.818211933558064e+07  2.957835782565646e+09  2.055779230275702e+27  6.432782973880638e+08  1.419880783603315e-01  2.872452960547779e-01  0.000000000000000e+00
2.833106411534886e+07  2.947744748735405e+09  2.046390412703068e+27  6.421659032357203e+08  1.419883696918407e-01  2.872449106977908e-01  0.000000000000000e+00
2.840520058810860e+07  2.937866577755064e+09  2.037210064308218e+27  6.410740974852276e+08  1.419886544430372e-01  2.872445343620063e-01  2.442490654175344e-15
2.847911684783862e+07  2.931300793885238e+09  2.031113842098540e+27  6.403477055443791e+08  1.419888434984338e-01  2.872442846064984e-01  0.000000000000000e+00
2.860923900942185e+07  2.922242532128233e+09  2.022710929482863e+27  6.393445935082182e+08  1.419891040445695e-01  2.872439405529995e-01  0.000000000000000e+00
2.873869554152352e+07  2.910737769507251e+09  2.012051116584245e+27  6.380678205596277e+08  1.419894344791519e-01  2.872435045407009e-01  0.000000000000000e+00
2.885905139111060e+07  2.899672574530527e+09  2.001811940212924e+27  6.368374567062994e+08  1.419897517979944e-01  2.872430861531257e-01  0.000000000000000e+00
2.897884921129529e+07  2.889037696663695e+09  1.991983334157920e+27  6.356527348049394e+08  1.419900563327164e-01  2.872426849086377e-01  0.000000000000000e+00
2.903854207947454e+07  2.881103079027485e+09  1.984658187714748e+27  6.347670777899768e+08  1.419902832600371e-01  2.872423861321615e-01  0.000000000000000e+00
2.909809940425608e+07  2.875825821419567e+09  1.979790048022683e+27  6.341775880362661e+08  1.419904340597621e-01  2.872421876584124e-01  0.000000000000000e+00
2.924539038407800e+07  2.866656951820344e+09  1.971339159035205e+27  6.331526677703211e+08  1.419906958236741e-01  2.872418432651146e-01  0.000000000000000e+00
2.931873132183655e+07  2.856917199233634e+09  1.962372036807192e+27  6.320610078997058e+08  1.419909735375106e-01  2.872414782179739e-01  0.000000000000000e+00
2.939187250349462e+07  2.850442712818354e+09  1.956416859696718e+27  6.313346334990280e+08  1.419911579599962e-01  2.872412359102035e-01  0.000000000000000e+00
2.951072612607539e+07  2.841951277342533e+09  1.948613430139439e+27  6.303810516037110e+08  1.419913996082037e-01  2.872409185603676e-01  0.000000000000000e+00
2.956995897954132e+07  2.834096995054124e+09  1.941402515036072e+27  6.294971251365899e+08  1.419916228947892e-01  2.872406255442909e-01  0.000000000000000e+00
2.962906420744698e+07  2.828872888090764e+09  1.936610067664587e+27  6.289087693714087e+08  1.419917712902597e-01  2.872404308802720e-01  2.442490654175344e-15
2.976262195360139e+07  2.820357134499665e+09  1.928804371630366e+27  6.279489709765153e+08  1.419920129857729e-01  2.872401139459358e-01  0.000000000000000e+00
2.989554306800084e+07  2.808605584300246e+09  1.918045740831010e+27  6.266214309667364e+08  1.419923461121937e-01  2.872396774953248e-01  0.000000000000000e+00
2.996176885779715e+07  2.799841787860527e+09  1.910032306012424e+27  6.256292228011721e+08  1.419925942419023e-01  2.872393526869597e-01  0.000000000000000e+00
3.002784039156915e+07  2.794014164847147e+09  1.904708344499966e+27  6.249688674074816e+08  1.419927590974964e-01  2.872391369809622e-01  0.000000000000000e+00
3.009375925517927e+07  2.788202379318875e+09  1.899402590468926e+27  6.243096227309552e+08  1.419929233937781e-01  2.872389221011464e-01  0.000000000000000e+00
3.015952701235231e+07  2.782406327775548e+09  1.894114924478669e+27  6.236514527906705e+08  1.419930871355722e-01  2.872387080408902e-01  0.000000000000000e+00
